pid,survey.date,content,energy,lonely,refreshed,restful,sad,sleep,stress
18hwpo5x,2019-03-13,2.0,2.0,0.0,1.0,1.0,0.0,4.0,3.0
18hwpo5x,2019-03-14,2.0,3.0,1.0,2.0,2.0,1.0,5.0,1.0
18hwpo5x,2019-03-15,2.0,2.0,1.0,1.0,3.0,1.0,3.0,2.0
18hwpo5x,2019-03-16,2.0,2.0,1.0,3.0,3.0,1.0,7.0,1.0
18hwpo5x,2019-03-17,,,,2.0,2.0,,5.0,
18hwpo5x,2019-03-19,3.0,2.0,1.0,1.0,1.0,0.0,4.0,1.0
18hwpo5x,2019-03-20,3.0,4.0,0.0,,,1.0,,1.0
18pw5ito,2019-02-14,1.0,1.0,1.0,,,1.0,,3.0
18pw5ito,2019-02-15,,,,0.0,0.0,,3.0,
18pw5ito,2019-02-17,2.0,1.0,0.0,,,1.0,,1.0
18pw5ito,2019-02-18,0.0,1.0,1.0,2.0,2.0,3.0,,3.0
18pw5ito,2019-02-19,1.0,1.0,1.0,0.0,1.0,1.0,,3.0
18pw5ito,2019-02-22,0.0,,2.0,,,1.0,,3.0
18pw5ito,2019-02-23,,,,0.0,0.0,,6.0,
18pw5ito,2019-02-24,1.0,2.0,3.0,,,2.0,,2.0
18pw5ito,2019-02-25,0.0,1.0,3.0,0.0,1.0,3.0,7.0,3.0
18pw5ito,2019-02-26,0.0,,3.0,0.0,2.0,3.0,,3.0
18pw5ito,2019-02-27,0.0,2.0,3.0,0.0,1.0,3.0,,3.0
18pw5ito,2019-02-28,,,,2.0,2.0,,6.0,
18pw5ito,2019-03-02,3.0,1.0,1.0,1.0,1.0,0.0,7.0,1.0
18pw5ito,2019-03-03,,,,1.0,1.0,,7.0,
18pw5ito,2019-03-04,,,,1.0,1.0,,8.0,
18pw5ito,2019-03-05,,,,2.0,2.0,,8.0,
18pw5ito,2019-03-06,,,,0.0,0.0,,,
18pw5ito,2019-03-11,,,,1.0,2.0,,7.0,
194ji8of,2018-10-10,2.0,2.0,0.0,,,1.0,,1.0
194ji8of,2018-10-11,1.0,2.0,0.0,2.0,3.0,2.0,5.0,3.0
194ji8of,2018-10-12,1.0,1.0,1.0,0.0,1.0,2.0,4.0,3.0
194ji8of,2018-10-13,,,,1.0,2.0,,8.0,
194ji8of,2018-10-14,2.0,3.0,0.0,1.0,2.0,1.0,12.0,3.0
194ji8of,2018-10-15,2.0,1.0,0.0,1.0,1.0,0.0,,1.0
194ji8of,2018-10-16,2.0,2.0,0.0,2.0,2.0,1.0,3.0,2.0
194ji8of,2018-10-17,1.0,0.0,0.0,2.0,2.0,3.0,7.0,3.0
194ji8of,2018-10-18,3.0,3.0,0.0,2.0,1.0,3.0,6.0,0.0
194ji8of,2018-10-19,,,,2.0,3.0,,12.0,
194ji8of,2018-10-20,1.0,1.0,0.0,2.0,2.0,1.0,12.0,2.0
194ji8of,2018-10-21,0.0,1.0,0.0,2.0,2.0,3.0,4.0,3.0
194ji8of,2018-10-22,,,,2.0,0.0,,0.0,
194ji8of,2018-10-23,1.0,1.0,0.0,2.0,2.0,0.0,,0.0
194ji8of,2018-10-24,1.0,1.0,0.0,3.0,2.0,0.0,,2.0
194ji8of,2018-10-25,2.0,2.0,0.0,1.0,1.0,1.0,11.0,1.0
194ji8of,2018-10-26,3.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0
194ji8of,2018-10-27,,,,3.0,3.0,,12.0,
